,node,betweenness,eigenvector,degree
123,DAPA,0.0,0.014907865046886945,1
124,Roberts,0.0,1.7627411768484943e-18,2
125,Gore,0.0,0.026729841756857182,1
126,Lincoln Chafee,0.0,0.026729841756857182,1
127,Santorum,0.0,1.7627411768484943e-18,2
128,Bradshaw,0.0,0.014023901779183766,1
129,Murphy,0.0,0.014023901779183766,1
130,Mitt,0.0,0.007257765796170141,1
131,Garland,0.0,1.7627411768484943e-18,2
132,Tai,0.0,2.6284151086392523e-16,3
133,Callahan,0.0,1.6244498736828061e-16,1
134,Jordan,0.0,0.026729841756857182,1
135,Jimmy Fallon,0.0,0.026729841756857182,1
136,Marc Mezvinsky,0.0,0.026729841756857182,1
137,Maren Sarkarat,0.0,0.026729841756857182,1
138,Tipper,0.0,0.026729841756857182,1
139,Rodham,0.0,0.026729841756857182,1
140,Hillary Rodham,0.0,0.026729841756857182,1
141,Mosby,0.0,1.6244498736828061e-16,1
142,Abdullah,0.0,1.7627411768484943e-18,2
143,Huma,0.0,0.040398888551722203,5
144,Benenson,0.0,0.026729841756857182,1
145,Bataclan,0.0,0.026729841756857182,1
146,Barclays,0.0,0.026729841756857182,1
